"","id","complete","missing_all_sample","missing_all_flow","n_samples","n_years","n_years_consec","samples_per_year","max_time_gap_days","n_before_gap","n_after_gap","n_flow_gaps","prop_censored","start_date","end_date"
"1","RI-13_BOD5",TRUE,FALSE,FALSE,737,36,36,20.5,286,286,451,0,0.35,1982-10-04,2017-12-04
"2","RI-13_FC_CFU",TRUE,FALSE,FALSE,300,15,15,20,223,223,77,0,0.02,2003-03-25,2017-12-04
"3","RI-13_FC_MPN",TRUE,FALSE,FALSE,525,23,23,22.8,8,8,525,1,0,1980-07-07,2002-12-11
"4","RI-13_FC_combined",TRUE,FALSE,FALSE,825,38,38,21.7,8,8,825,1,0.01,1980-07-07,2017-12-04
"5","RI-13_NH3",TRUE,FALSE,FALSE,858,38,38,22.6,7,7,858,1,0.3,1980-07-07,2017-12-04
"6","RI-13_TP",TRUE,FALSE,FALSE,826,38,38,21.7,5,5,826,1,0.01,1980-07-23,2017-12-04
"7","RI-13_Total Suspended Solids",TRUE,FALSE,FALSE,809,38,38,21.3,8,8,809,1,0.1,1980-07-23,2017-12-04
"8","RI-11_BOD5",TRUE,FALSE,FALSE,834,37,37,22.5,369,369,465,0,0.44,1981-06-11,2017-12-04
"9","RI-11_FC_CFU",TRUE,FALSE,FALSE,312,15,15,20.8,37,37,275,0,0,2003-03-25,2017-12-04
"10","RI-11_FC_MPN",TRUE,FALSE,FALSE,526,23,23,22.9,16,16,510,0,0.01,1980-03-31,2002-12-11
"11","RI-11_FC_combined",TRUE,FALSE,FALSE,838,38,38,22.1,16,16,822,0,0.01,1980-03-31,2017-12-04
"12","RI-11_NH3",TRUE,FALSE,FALSE,873,38,38,23,16,16,857,0,0.05,1980-03-31,2017-12-04
"13","RI-11_TP",TRUE,FALSE,FALSE,846,38,38,22.3,16,16,830,0,0.01,1980-03-31,2017-12-04
"14","RI-11_Total Suspended Solids",TRUE,FALSE,FALSE,818,37,37,22.1,304,304,514,0,0,1981-06-11,2017-12-04
"15","RI-07_BOD5",TRUE,FALSE,FALSE,746,36,36,20.7,297,297,449,0,0.41,1982-10-04,2017-12-04
"16","RI-07_FC_CFU",TRUE,FALSE,FALSE,292,15,15,19.5,216,216,76,0,0,2003-03-25,2017-12-04
"17","RI-07_FC_MPN",TRUE,FALSE,FALSE,541,23,23,23.5,407,407,134,0,0,1980-03-31,2002-12-11
"18","RI-07_FC_combined",TRUE,FALSE,FALSE,833,38,38,21.9,407,407,426,0,0,1980-03-31,2017-12-04
"19","RI-07_NH3",TRUE,FALSE,FALSE,860,38,38,22.6,415,415,445,0,0.15,1980-03-31,2017-12-04
"20","RI-07_TP",TRUE,FALSE,FALSE,832,38,38,21.9,385,385,447,0,0.01,1980-03-31,2017-12-04
"21","RI-07_Total Suspended Solids",TRUE,FALSE,FALSE,807,37,37,21.8,310,310,497,0,0.01,1981-03-25,2017-12-04
"22","RI-14_BOD5",TRUE,FALSE,FALSE,815,37,37,22,354,354,461,0,0.35,1981-06-11,2017-11-15
"23","RI-14_FC_CFU",TRUE,FALSE,FALSE,304,15,15,20.3,229,229,75,0,0.03,2003-03-25,2017-11-15
"24","RI-14_FC_MPN",TRUE,FALSE,FALSE,517,23,23,22.5,13,13,504,0,0.01,1980-07-07,2002-12-11
"25","RI-14_FC_combined",TRUE,FALSE,FALSE,821,38,38,21.6,13,13,808,0,0.02,1980-07-07,2017-11-15
"26","RI-14_NH3",TRUE,FALSE,FALSE,850,38,38,22.4,13,13,837,0,0.03,1980-07-07,2017-11-15
"27","RI-14_TP",TRUE,FALSE,FALSE,823,38,38,21.7,11,11,812,0,0,1980-08-26,2017-11-15
"28","RI-14_Total Suspended Solids",TRUE,FALSE,FALSE,802,37,37,21.7,291,291,511,0,0,1981-06-11,2017-11-15
"29","RI-09_BOD5",TRUE,FALSE,FALSE,824,37,37,22.3,348,348,476,0,0.53,1981-06-11,2017-12-04
"30","RI-09_FC_CFU",TRUE,FALSE,FALSE,314,15,15,20.9,19,19,295,0,0.01,2003-03-25,2017-12-04
"31","RI-09_FC_MPN",TRUE,FALSE,FALSE,527,22,22,24,367,367,160,0,0,1981-06-11,2002-12-11
"32","RI-09_FC_combined",TRUE,FALSE,FALSE,841,37,37,22.7,367,367,474,0,0,1981-06-11,2017-12-04
"33","RI-09_NH3",TRUE,FALSE,FALSE,852,37,37,23,377,377,475,0,0.27,1981-06-11,2017-12-04
"34","RI-09_TP",TRUE,FALSE,FALSE,830,37,37,22.4,355,355,475,0,0.01,1981-06-11,2017-12-04
"35","RI-09_Total Suspended Solids",TRUE,FALSE,FALSE,821,37,37,22.2,301,301,520,0,0.07,1981-06-11,2017-12-04
"36","RI-04_BOD5",TRUE,FALSE,FALSE,819,37,37,22.1,531,531,288,0,0.46,1981-06-11,2017-12-04
"37","RI-04_FC_CFU",TRUE,FALSE,FALSE,300,15,15,20,17,17,283,0,0,2003-03-25,2017-12-04
"38","RI-04_FC_MPN",TRUE,FALSE,FALSE,540,22,22,24.5,382,382,158,0,0,1981-04-06,2002-12-11
"39","RI-04_FC_combined",TRUE,FALSE,FALSE,840,37,37,22.7,557,557,283,0,0,1981-04-06,2017-12-04
"40","RI-04_NH3",TRUE,FALSE,FALSE,844,37,37,22.8,557,557,287,0,0.23,1981-04-06,2017-12-04
"41","RI-04_TP",TRUE,FALSE,FALSE,827,37,37,22.4,539,539,288,0,0.01,1981-04-06,2017-12-04
"42","RI-04_Total Suspended Solids",TRUE,FALSE,FALSE,823,37,37,22.2,532,532,291,0,0.02,1981-04-06,2017-12-04
"43","RI-02_BOD5",TRUE,FALSE,FALSE,744,36,36,20.7,286,286,458,0,0.54,1982-10-04,2017-12-04
"44","RI-02_FC_CFU",TRUE,FALSE,FALSE,299,15,15,19.9,222,222,77,0,0,2003-03-25,2017-12-04
"45","RI-02_FC_MPN",TRUE,FALSE,FALSE,532,22,22,24.2,375,375,157,0,0,1981-04-06,2002-12-11
"46","RI-02_FC_combined",TRUE,FALSE,FALSE,831,37,37,22.5,375,375,456,0,0,1981-04-06,2017-12-04
"47","RI-02_NH3",TRUE,FALSE,FALSE,840,37,37,22.7,382,382,458,0,0.24,1981-04-06,2017-12-04
"48","RI-02_TP",TRUE,FALSE,FALSE,817,37,37,22.1,358,358,459,0,0.01,1981-04-06,2017-12-04
"49","RI-02_Total Suspended Solids",TRUE,FALSE,FALSE,815,37,37,22,309,309,506,0,0.04,1981-04-06,2017-12-04
"50","RI-01_BOD5",TRUE,FALSE,FALSE,789,37,37,21.3,332,332,457,0,0.59,1981-11-02,2017-12-04
"51","RI-01_FC_CFU",TRUE,FALSE,FALSE,296,15,15,19.7,19,19,277,0,0,2003-03-25,2017-12-04
"52","RI-01_FC_MPN",TRUE,FALSE,FALSE,507,22,22,23,350,350,157,0,0,1981-11-02,2002-12-11
"53","RI-01_FC_combined",TRUE,FALSE,FALSE,803,37,37,21.7,350,350,453,0,0,1981-11-02,2017-12-04
"54","RI-01_NH3",TRUE,FALSE,FALSE,804,37,37,21.7,350,350,454,0,0.26,1981-11-02,2017-12-04
"55","RI-01_TP",TRUE,FALSE,FALSE,780,37,37,21.1,324,324,456,0,0.02,1981-11-02,2017-12-04
"56","RI-01_Total Suspended Solids",TRUE,FALSE,FALSE,791,37,37,21.4,288,288,503,0,0.05,1981-11-02,2017-12-04
"57","RI-16_BOD5",TRUE,FALSE,FALSE,731,36,36,20.3,274,274,457,0,0.61,1982-10-04,2017-12-04
"58","RI-16_FC_CFU",TRUE,FALSE,FALSE,299,15,15,19.9,221,221,78,0,0.01,2003-03-25,2017-12-04
"59","RI-16_FC_MPN",TRUE,FALSE,FALSE,457,21,21,21.8,308,308,149,0,0,1982-05-24,2002-12-11
"60","RI-16_FC_combined",TRUE,FALSE,FALSE,756,36,36,21,308,308,448,0,0,1982-05-24,2017-12-04
"61","RI-16_NH3",TRUE,FALSE,FALSE,770,36,36,21.4,312,312,458,0,0.12,1982-05-24,2017-12-04
"62","RI-16_TP",TRUE,FALSE,FALSE,751,36,36,20.9,255,255,496,0,0.01,1982-05-24,2017-12-04
"63","RI-16_Total Suspended Solids",TRUE,FALSE,FALSE,745,36,36,20.7,240,240,505,0,0.04,1982-05-24,2017-12-04
"64","OH-01_BOD5",FALSE,TRUE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"65","OH-01_FC_CFU",TRUE,FALSE,FALSE,324,15,15,21.6,267,267,57,0,0.02,2003-03-24,2017-11-13
"66","OH-01_FC_MPN",TRUE,FALSE,FALSE,386,23,23,16.8,265,265,149,1,0.02,1980-07-14,2002-11-18
"67","OH-01_FC_combined",TRUE,FALSE,FALSE,710,38,38,18.7,265,265,473,1,0.02,1980-07-14,2017-11-13
"68","OH-01_NH3",TRUE,FALSE,FALSE,714,38,38,18.8,26,26,714,1,0.12,1980-07-14,2017-11-13
"69","OH-01_TP",TRUE,FALSE,FALSE,711,38,38,18.7,26,26,711,1,0.04,1980-07-14,2017-11-13
"70","OH-01_Total Suspended Solids",TRUE,FALSE,FALSE,554,38,38,14.6,199,199,355,0,0.01,1980-07-14,2017-11-13
"71","RI-21_BOD5",TRUE,FALSE,FALSE,633,33,33,19.2,178,178,455,0,0.69,1985-03-19,2017-12-04
"72","RI-21_FC_CFU",TRUE,FALSE,FALSE,297,15,15,19.8,55,55,242,0,0,2003-03-25,2017-12-04
"73","RI-21_FC_MPN",TRUE,FALSE,FALSE,327,18,18,18.2,174,174,153,0,0.01,1985-03-19,2002-12-11
"74","RI-21_FC_combined",TRUE,FALSE,FALSE,624,33,33,18.9,174,174,450,0,0,1985-03-19,2017-12-04
"75","RI-21_NH3",TRUE,FALSE,FALSE,638,33,33,19.3,180,180,458,0,0.29,1985-03-19,2017-12-04
"76","RI-21_TP",TRUE,FALSE,FALSE,634,33,33,19.2,176,176,458,0,0.02,1985-03-19,2017-12-04
"77","RI-21_Total Suspended Solids",TRUE,FALSE,FALSE,632,33,33,19.2,127,127,505,0,0.03,1985-03-19,2017-12-04
"78","OC-02_BOD5",TRUE,FALSE,FALSE,417,32,31,13,148,148,269,0,0.73,1985-03-21,2017-11-28
"79","OC-02_FC_CFU",TRUE,FALSE,FALSE,147,15,15,9.8,53,53,94,0,0.01,2003-03-19,2017-11-28
"80","OC-02_FC_MPN",TRUE,FALSE,FALSE,268,17,16,15.8,147,147,121,0,0,1985-03-21,2002-11-14
"81","OC-02_FC_combined",TRUE,FALSE,FALSE,415,32,31,13,147,147,268,0,0,1985-03-21,2017-11-28
"82","OC-02_NH3",TRUE,FALSE,FALSE,418,32,31,13.1,148,148,270,0,0.18,1985-03-21,2017-11-28
"83","OC-02_TP",TRUE,FALSE,FALSE,415,32,31,13,147,147,268,0,0.02,1985-03-21,2017-11-28
"84","OC-02_Total Suspended Solids",TRUE,FALSE,FALSE,411,32,31,12.8,141,141,270,0,0.01,1985-03-21,2017-11-28
"85","OC-05_BOD5",TRUE,FALSE,FALSE,409,32,31,12.8,149,149,260,0,0.69,1985-03-21,2017-11-28
"86","OC-05_FC_CFU",TRUE,FALSE,FALSE,145,15,15,9.7,53,53,92,0,0,2003-03-19,2017-11-28
"87","OC-05_FC_MPN",TRUE,FALSE,FALSE,261,17,16,15.4,147,147,114,0,0,1985-03-21,2002-08-27
"88","OC-05_FC_combined",TRUE,FALSE,FALSE,406,32,31,12.7,147,147,259,0,0,1985-03-21,2017-11-28
"89","OC-05_NH3",TRUE,FALSE,FALSE,410,32,31,12.8,149,149,261,0,0.2,1985-03-21,2017-11-28
"90","OC-05_TP",TRUE,FALSE,FALSE,408,32,31,12.8,148,148,260,0,0.01,1985-03-21,2017-11-28
"91","OC-05_Total Suspended Solids",TRUE,FALSE,FALSE,402,32,31,12.6,140,140,262,0,0.03,1985-03-21,2017-11-28
"92","LC-04_BOD5",TRUE,FALSE,FALSE,233,17,16,13.7,215,215,18,0,0.55,1997-06-18,2017-11-20
"93","LC-04_FC_CFU",TRUE,FALSE,FALSE,137,11,10,12.5,119,119,18,0,0,2003-03-25,2017-11-20
"94","LC-04_FC_MPN",TRUE,FALSE,FALSE,91,6,6,15.2,71,71,20,0,0.01,1997-06-18,2002-12-11
"95","LC-04_FC_combined",TRUE,FALSE,FALSE,228,17,16,13.4,210,210,18,0,0,1997-06-18,2017-11-20
"96","LC-04_NH3",TRUE,FALSE,FALSE,231,17,16,13.6,213,213,18,0,0.29,1997-06-18,2017-11-20
"97","LC-04_TP",TRUE,FALSE,FALSE,231,17,16,13.6,213,213,18,0,0,1997-06-18,2017-11-20
"98","LC-04_Total Suspended Solids",TRUE,FALSE,FALSE,233,17,16,13.7,215,215,18,0,0.01,1997-06-18,2017-11-20
"99","RR-04_BOD5",TRUE,FALSE,FALSE,184,19,19,9.7,99,99,85,0,0.67,1999-08-25,2017-11-28
"100","RR-04_FC_CFU",TRUE,FALSE,FALSE,144,15,15,9.6,60,60,84,0,0.01,2003-04-22,2017-11-28
"101","RR-04_FC_MPN",TRUE,FALSE,FALSE,38,4,4,9.5,28,28,10,0,0,1999-08-25,2002-11-19
"102","RR-04_FC_combined",TRUE,FALSE,FALSE,182,19,19,9.6,98,98,84,0,0.01,1999-08-25,2017-11-28
"103","RR-04_NH3",TRUE,FALSE,FALSE,184,19,19,9.7,99,99,85,0,0.19,1999-08-25,2017-11-28
"104","RR-04_TP",TRUE,FALSE,FALSE,183,19,19,9.6,98,98,85,0,0.01,1999-08-25,2017-11-28
"105","RR-04_Total Suspended Solids",TRUE,FALSE,FALSE,184,19,19,9.7,99,99,85,0,0.01,1999-08-25,2017-11-28
"106","RR-05_BOD5",TRUE,FALSE,FALSE,178,19,19,9.4,99,99,79,0,0.76,1999-08-25,2017-11-28
"107","RR-05_FC_CFU",TRUE,FALSE,FALSE,139,15,15,9.3,61,61,78,0,0,2003-04-22,2017-11-28
"108","RR-05_FC_MPN",TRUE,FALSE,FALSE,38,4,4,9.5,28,28,10,0,0.03,1999-08-25,2002-11-19
"109","RR-05_FC_combined",TRUE,FALSE,FALSE,177,19,19,9.3,99,99,78,0,0.01,1999-08-25,2017-11-28
"110","RR-05_NH3",TRUE,FALSE,FALSE,178,19,19,9.4,99,99,79,0,0.34,1999-08-25,2017-11-28
"111","RR-05_TP",TRUE,FALSE,FALSE,177,19,19,9.3,98,98,79,0,0,1999-08-25,2017-11-28
"112","RR-05_Total Suspended Solids",TRUE,FALSE,FALSE,178,19,19,9.4,99,99,79,0,0,1999-08-25,2017-11-28
"113","HC-03_BOD5",TRUE,FALSE,FALSE,130,15,15,8.7,51,51,79,0,0.58,2003-05-05,2017-11-07
"114","HC-03_FC_CFU",TRUE,FALSE,FALSE,143,15,15,9.5,65,65,78,0,0.01,2003-05-05,2017-11-07
"115","HC-03_FC_MPN",TRUE,FALSE,FALSE,4,1,1,4,3,3,1,0,0,2001-08-09,2001-08-21
"116","HC-03_FC_combined",TRUE,FALSE,FALSE,147,16,15,9.2,4,4,143,0,0.01,2001-08-09,2017-11-07
"117","HC-03_NH3",TRUE,FALSE,FALSE,133,16,15,8.3,4,4,129,0,0.54,2001-08-09,2017-11-07
"118","HC-03_TP",TRUE,FALSE,FALSE,128,15,15,8.5,50,50,78,0,0.02,2003-05-05,2017-11-07
"119","HC-03_Total Suspended Solids",TRUE,FALSE,FALSE,129,15,15,8.6,51,51,78,0,0.09,2003-05-05,2017-11-07
"120","UC-07_BOD5",TRUE,FALSE,FALSE,119,15,15,7.9,118,118,1,0,0.44,2003-05-05,2017-07-17
"121","UC-07_FC_CFU",TRUE,FALSE,FALSE,114,15,15,7.6,113,113,1,0,0.01,2003-05-05,2017-07-17
"122","UC-07_FC_MPN",FALSE,TRUE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"123","UC-07_FC_combined",TRUE,FALSE,FALSE,114,15,15,7.6,113,113,1,0,0.01,2003-05-05,2017-07-17
"124","UC-07_NH3",TRUE,FALSE,FALSE,119,15,15,7.9,118,118,1,0,0.55,2003-05-05,2017-07-17
"125","UC-07_TP",TRUE,FALSE,FALSE,119,15,15,7.9,118,118,1,0,0.01,2003-05-05,2017-07-17
"126","UC-07_Total Suspended Solids",TRUE,FALSE,FALSE,118,15,15,7.9,117,117,1,0,0.03,2003-05-05,2017-07-17
